product_id,bank_name_cn,bank_name_en,product_name_cn,product_name_en,product_type,target_customer,supports_sme,suitable_company_scale,eligible_project_tags,preferred_industries,mvp_min_esg_score,preferred_esg_ratings,mvp_min_recommended_amount_hkd,mvp_max_recommended_amount_hkd,mvp_max_tenor_years,requires_external_review,requires_use_of_proceeds_tracking,requires_kpi_or_target_tracking,official_features_summary,best_for,mvp_matching_note,source_institution,source_url
HSBC_HK_SIL_HKGOC,滙豐銀行香港,HSBC Hong Kong,可持續發展改善貸款 - HKGOC路徑,HSBC Sustainability Improvement Loan with HKGOC,sustainability_linked_loan,中小企及中型企業,TRUE,SME; mid_market,energy_efficiency; waste_reduction; carbon_reduction; sustainability_performance; SME,all_industries,65,A+; A; B+; B,500000,,,TRUE,FALSE,TRUE,貸款成本可與企業可持續表現掛鈎，HKGOC Energywi$e/Wastewi$e證書可作為可持續表現路徑之一。適用於希望通過節能、減廢和環境管理改善來取得更好融資條件的企業。,已有ESG報告或內部環境數據，並計劃持續改善節能、減廢表現的中小企。,若企業ESG評分較高且具備節能/減廢項目，可優先匹配；需要企業準備HKGOC或等同證明，並由銀行最終判斷是否可轉為SIL安排。,HSBC,https://www.business.hsbc.com.hk/-/media/media/hong-kong/pdfs/campaigns/sustainability-improvement-loan-hkgoc-factsheet-en.pdf
BOCHK_GREEN_SUSTAINABILITY_RELATED_LOAN,中國銀行香港,Bank of China (Hong Kong),綠色和可持續相關貸款,Green and Sustainability related Loan,green_or_sustainability_related_loan,各行業企業客户,TRUE,SME; mid_market; corporate,renewable_energy; energy_efficiency; pollution_prevention; waste_reduction; waste_recycling; clean_transport; green_technology; sustainable_water; climate_resilience; circular_economy; green_building; carbon_reduction,all_industries,60,A+; A; B+; B,1000000,,,TRUE,TRUE,TRUE,支持合資格綠色、社會和轉型項目，也支持企業實現ESG目標；貸款類型包括定期貸款和循環貸款；申請需符合綠色貸款原則或可持續發展掛鈎貸款原則等。,項目用途清晰、可提供第三方綠色評估或認證、融資金額達到企業貸款規模的綠色項目。,適合作為光伏、電動車、節能改造、循環經濟項目的綜合備選；需要綠色評估或認證並由銀行審批。,BOCHK,https://www.bochk.com/en/corporate/ESG/greenloan.html
HANGSENG_GREEN_LOAN,恒生銀行,Hang Seng Bank,綠色貸款,Green Loans,use_of_proceeds_green_loan,商業銀行企業客户,TRUE,SME; mid_market; corporate,renewable_energy; energy_efficiency; clean_transport; waste_reduction; waste_recycling; green_building; carbon_reduction,all_industries,60,A+; A; B+; B,800000,100000000,,TRUE,TRUE,FALSE,企業貸款用於融資或再融資符合綠色貸款原則的合資格綠色項目。網頁同時列示社會貸款和可持續發展掛鈎貸款。,用途明確、可直接證明環境收益的綠色項目。,恒生網頁曾列示外部評審費用現金回贈，但相關條款要求可持續融資須在2025年5月31日或以前提款；當前匹配只使用貸款產品類型，不把該回贈作為有效優惠。,Hang Seng Bank,https://www.hangseng.com/business/scale-your-business/lending-green-financing/
HANGSENG_SUSTAINABILITY_LINKED_LOAN,恒生銀行,Hang Seng Bank,可持續發展掛鈎貸款,Sustainability Linked Loans,sustainability_linked_loan,商業銀行企業客户,TRUE,SME; mid_market; corporate,sustainability_performance; carbon_reduction; energy_efficiency; training; social_performance; governance,all_industries,70,A+; A; B+,1000000,100000000,,TRUE,FALSE,TRUE,貸款支持環境及社會可持續經濟活動，企業資金成本與ESG及可持續發展指標掛鈎。,ESG評分較高、已有量化年度目標並希望把融資成本與減碳或其他ESG目標掛鈎的企業。,若企業ESG評級為A+/A且具備明確減碳目標，可作為綠色項目貸款之外的融資方案。,Hang Seng Bank,https://www.hangseng.com/business/scale-your-business/lending-green-financing/
DBS_HK_SME_SUSTAINABLE_FINANCE_PROGRAMME,星展銀行香港,DBS Hong Kong,中小企可持續發展融資計劃,DBS Hong Kong SME Sustainable Finance Programme,sme_green_project_finance,香港中小企,TRUE,SME,energy_efficiency; pollution_prevention; resource_conservation; green_building; clean_transport; renewable_energy; solar; waste_reduction; circular_economy; SME,all_industries; sustainability_sector,55,A+; A; B+; B; C+,500000,10000000,,FALSE,TRUE,FALSE,專為中小企綠色項目或活動提供融資，資金用途須具備明確環境效益；合資格用途包括LED、節能設備、可回收材料、電動車隊和太陽能等。可適用分期貸款、循環貸款、貿易融資等多類信貸。,金額較小、用途明確、需要較簡化綠色融資路徑的香港中小企。,與當前demo企業的LED、屋頂光伏、電動車替換、循環包裝項目高度匹配；需要準備合同、標籤、認證或項目文件證明資金用於綠色活動。,DBS Hong Kong,https://www.dbs.com.hk/sme/sustainable-finance-programme
DBS_HK_GREEN_SUSTAINABLE_TRADE_FINANCING,星展銀行香港,DBS Hong Kong,綠色和可持續貿易融資,Green and Sustainable Trade Financing,sustainable_trade_finance,企業及中小企供應鏈客户,TRUE,SME; mid_market; corporate,sustainable_packaging; circular_economy; resource_conservation; waste_reduction; supply_chain; trade_finance,trade; manufacturing; packaging; logistics,60,A+; A; B+; B,500000,,1,FALSE,TRUE,FALSE,圍繞可持續供應鏈和貿易活動提供綠色及可持續貿易融資方案。,以採購、應收、訂單和供應鏈為主的綠色產品企業。,適合再生紙產品線和可持續包裝訂單產生的貿易融資需求；如為固定資產改造項目，則優先匹配項目貸款而非貿易融資。,DBS Hong Kong,https://www.dbs.com.hk/corporate/sustainability/green-and-sustainable-trade-financing
BEA_GREEN_LOAN,東亞銀行,The Bank of East Asia,綠色貸款,Green Loan,use_of_proceeds_green_loan,企業客户,TRUE,SME; mid_market; corporate,energy_efficiency; renewable_energy; green_building; carbon_reduction; clean_transport; waste_reduction,all_industries,60,A+; A; B+; B,500000,,,TRUE,TRUE,FALSE,綠色貸款支持提高能源效率、發展可再生能源、綠色建築等綠色項目，並按不同綠色項目提供優惠利率。,綠色項目用途明確且希望獲得項目型綠色貸款優惠利率的企業。,適合LED改造、光伏和電動車項目；需準備綠色項目文件並通過銀行內部政策和信貸審批。,BEA,https://www.hkbea.com/html/en/bea-corporate-banking-green-and-sustainable-products.html
BEA_SUSTAINABILITY_LINKED_LOAN,東亞銀行,The Bank of East Asia,可持續發展掛鈎貸款,Sustainability-linked Loan,sustainability_linked_loan,企業客户,TRUE,SME; mid_market; corporate,sustainability_performance; carbon_reduction; training; energy_efficiency; governance,all_industries,70,A+; A; B+,800000,,,TRUE,FALSE,TRUE,貸款條款與預先設定的可持續目標掛鈎，例如年度碳減排、員工培訓時數等，並需定期監測進度報告。,ESG表現較好且有量化KPI的企業。,當前企業ESG評級A+，可作為補充融資方案；若單個項目金額較小，通常仍優先匹配中小企綠色項目貸款。,BEA,https://www.hkbea.com/html/en/bea-corporate-banking-green-and-sustainable-products.html
OCBC_HK_SME_SUSTAINABLE_FINANCING,華僑銀行香港,OCBC Hong Kong,中小企可持續融資綠色貸款,SME Sustainable Financing - Green Loans for SMEs,sme_green_project_finance,中小企,TRUE,SME,renewable_energy; solar; green_building; energy_efficiency; clean_transport; pollution_prevention; waste_reduction; waste_recycling; circular_economy; sustainable_packaging; sustainable_water; climate_adaptation; SME,all_industries; sustainability_sector; packaging,55,A+; A; B+; B; C+,300000,,,FALSE,TRUE,FALSE,為中小企實施可持續項目提供融資，框架經Moody's ESG審閲並與綠色貸款原則四個核心組成部分對齊；資金領域包括可再生能源、能源效率、清潔交通、污染防治、循環經濟及資源高效包裝等。,綠色項目類型較多、金額中小、希望簡化可持續融資文件複雜度的中小企。,與demo企業綠色包裝、LED、光伏、電動車和循環經濟項目高度匹配，是優先推薦對象。,OCBC Hong Kong,https://www.ocbc.com.hk/business-banking/smes/loans/sustainable-financing.page
SCB_SUSTAINABLE_TRADE_FINANCING,渣打銀行香港,Standard Chartered,可持續貿易融資,Sustainable Trade Financing,sustainable_trade_finance,企業及機構客户,FALSE,mid_market; corporate,trade_finance; supply_chain; sustainable_packaging; clean_transport; renewable_energy; energy_efficiency; green_project,trade; manufacturing; logistics; supply_chain,70,A+; A; B+,5000000,,1,TRUE,TRUE,FALSE,渣打提供可持續貿易融資方案，包括與綠色和可持續金融產品框架內合資格項目相關的貿易流動性支持。,具有跨境貿易、供應鏈融資或較大貿易額度需求的企業。,當前demo企業規模和單筆融資金額偏小，因此一般作為條件備選；如未來發展為跨境綠色包裝供應鏈訂單，可提高匹配優先級。,Standard Chartered,https://www.sc.com/en/corporate-investment-banking/transaction-banking/sustainable-trade-financing
